regret,cumregret,paramerror,context,action,reward
0.7485141697928598,0.7485141697928598,0.9999999999999999,26,2,-0.44670839172423993
0.0,0.7485141697928598,0.9310742030961955,17,5,0.7663457868500437
0.47352138373702335,1.2220355535298832,0.6891219501224122,88,7,0.03632026694935481
0.6438175029737043,1.8658530565035876,0.6907896145066017,54,8,-0.19609687510164472
0.7678587818366123,2.6337118383402,0.6414131310301692,67,6,-0.041829435057524955
0.11375251033513789,2.747464348675338,0.556835159597346,74,4,0.43022833228141133
0.24955404429669675,2.9970183929720347,0.5266096527247276,66,5,-0.1214884208333798
-5.551115123125783e-17,2.9970183929720347,0.5729949199385488,70,4,0.40090460779313997
1.1102230246251565e-16,2.9970183929720347,0.4963921573274427,64,3,0.36651131584618374
-5.551115123125783e-17,2.9970183929720347,0.4452308930732291,9,2,0.4463161149660252
0.03373483632091928,3.0307532292929538,0.45560589324994716,18,2,0.11518196026382338
0.6769409578039809,3.7076941870969344,0.4797864107232755,43,0,-0.2952581555628556
0.2616566492299265,3.969350836326861,0.40687593737188527,40,1,0.013949602036326225
0.0,3.969350836326861,0.419305213622049,79,0,0.5522234058852517
0.0,3.969350836326861,0.41465934615290584,43,8,0.4008820742656302
0.0,3.969350836326861,0.41721044701412074,67,3,0.6503407142289556
0.5360414704588359,4.505392306785697,0.37495314238156596,58,8,-0.01942377764435424
0.05200906219843504,4.557401368984132,0.3776007425574529,27,1,0.13761794820980283
0.031751861253672964,4.589153230237804,0.333698876544203,73,9,0.6182011693144831
0.058455855604602536,4.647609085842407,0.291960389895618,25,5,0.5034756386779125
2.7755575615628914e-17,4.647609085842407,0.29081691666596526,51,3,0.4119858432387282
0.0,4.647609085842407,0.3220227192925078,31,9,0.2665577378616489
0.0,4.647609085842407,0.32077260810087005,10,5,0.45382411429006014
0.0,4.647609085842407,0.25762291766181755,48,3,0.4967091733975785
0.0,4.647609085842407,0.2543634543298564,94,7,0.3494514987768229
0.0,4.647609085842407,0.21789962075916336,76,3,0.23774991890803793
0.0,4.647609085842407,0.22244500506003634,11,7,0.5418459682186682
0.0,4.647609085842407,0.22243683899939976,74,6,0.4471094111475583
0.21343228456277136,4.861041370405179,0.2170231694059549,37,4,0.21615752151533407
0.07236860407392942,4.933409974479108,0.20907072495742482,92,8,0.5542036629378055
0.0,4.933409974479108,0.20493060226574933,21,4,0.8958666394681725
0.10282358595215924,5.036233560431268,0.17505731698623234,45,5,0.16990398072117707
-5.551115123125783e-17,5.036233560431268,0.16462114390842453,29,0,0.5592618343416305
0.0,5.036233560431268,0.1714182867603797,84,9,0.771535910068702
1.1102230246251565e-16,5.036233560431268,0.17412084515783116,89,7,0.47969531680790306
0.0,5.036233560431268,0.1710893890038571,78,9,0.5424471017424294
0.0,5.036233560431268,0.1721997205397856,57,6,0.46666337706752214
-5.551115123125783e-17,5.036233560431268,0.16948171571697795,26,4,0.48113311539475323
5.551115123125783e-17,5.036233560431268,0.17028808160860479,1,3,0.3680691957498962
0.0,5.036233560431268,0.16976567757390185,16,9,0.5298060282990124
0.0,5.036233560431268,0.15503638370288308,10,5,0.677534144131124
0.0,5.036233560431268,0.16542375835250167,4,3,0.5081150405805335
-1.1102230246251565e-16,5.036233560431268,0.1632041014486179,2,0,0.605214932002194
1.1102230246251565e-16,5.036233560431268,0.16559089144887773,41,4,0.6386231170925827
0.0,5.036233560431268,0.1541500236179345,91,1,0.3490742120416589
0.0,5.036233560431268,0.16038114948013915,32,0,0.6612011879859226
5.551115123125783e-17,5.036233560431268,0.14530024681709117,1,3,0.3776244144151732
0.0,5.036233560431268,0.14609508681240935,10,5,0.4081088415229879
-5.551115123125783e-17,5.036233560431268,0.13197876658277163,56,5,0.10961145501041261
-1.1102230246251565e-16,5.036233560431268,0.12198976846276652,22,0,0.35413989695114256
-5.551115123125783e-17,5.036233560431268,0.11901613349215698,53,9,0.38491294466505915
0.0,5.036233560431268,0.11296162827769393,72,8,0.8396902247831912
0.015947282648426264,5.052180843079694,0.11662082703793529,91,4,0.44487506676764466
-1.1102230246251565e-16,5.052180843079694,0.11646939658163034,22,0,0.3235903237533281
0.0,5.052180843079694,0.11997029630513854,90,3,0.40122650120303927
0.0,5.052180843079694,0.1181696807516851,43,8,0.35506555521179484
5.551115123125783e-17,5.052180843079694,0.11830265048247789,0,7,0.6218511606580437
5.551115123125783e-17,5.052180843079694,0.12741086786260797,3,6,0.0985198321317422
0.015947282648426264,5.06812812572812,0.12802097880515526,91,4,0.4260020992526212
5.551115123125783e-17,5.06812812572812,0.12906097171100364,1,3,0.31699046783253504
0.07500284387878658,5.143130969606907,0.1302636095142161,76,1,0.340415243278498
0.08508623631516676,5.228217205922074,0.13097933383464333,86,4,0.4364790833808073
-5.551115123125783e-17,5.228217205922074,0.12663806133132868,70,4,0.34728546799069404
0.0,5.228217205922074,0.12567403171143027,82,6,0.5314131813421316
0.03034807920701238,5.2585652851290865,0.12588024985828,98,6,0.4798056635290398
0.0,5.2585652851290865,0.12583063059775737,13,2,0.10010042743549574
-5.551115123125783e-17,5.2585652851290865,0.12756100933628423,70,4,0.34456865904051237
0.0,5.2585652851290865,0.126617814425073,34,7,0.5176536972453811
0.0,5.2585652851290865,0.12687146961182996,5,8,0.4470226587283438
1.1102230246251565e-16,5.2585652851290865,0.12459778312446002,40,2,0.2601353356623718
1.1102230246251565e-16,5.2585652851290865,0.12894913824248538,92,1,0.656921490675776
1.1102230246251565e-16,5.2585652851290865,0.12905378723202868,7,4,0.3576843215384194
0.0,5.2585652851290865,0.12357813251491576,52,1,0.6551187963316296
1.1102230246251565e-16,5.2585652851290865,0.11829275261365345,89,7,0.5743560760728673
0.07500284387878658,5.333568129007873,0.11732451713288956,76,1,0.2939340221257303
-5.551115123125783e-17,5.333568129007873,0.11507513747507057,26,4,0.40914483948398256
1.1102230246251565e-16,5.333568129007873,0.11526427086127357,7,4,0.32076146610268785
0.0,5.333568129007873,0.11411860840553906,38,2,0.8071737114133967
0.0,5.333568129007873,0.10498438039330926,57,6,0.5393417624443095
1.1102230246251565e-16,5.333568129007873,0.10348359476196264,7,4,0.5304523834254409
0.0,5.333568129007873,0.10368319688309241,38,2,0.7322211165817121
0.0,5.333568129007873,0.10195928103859042,91,1,0.6132432866005164
0.0,5.333568129007873,0.09412632269217071,83,3,0.6747880342527209
0.0,5.333568129007873,0.093069596228792,73,0,0.3072867645674182
0.0,5.333568129007873,0.08356780042260764,44,3,0.4258557690819643
0.0,5.333568129007873,0.08479390878864927,71,2,0.6875599940823727
1.1102230246251565e-16,5.333568129007873,0.08791397164043945,33,7,0.48177042416744165
-5.551115123125783e-17,5.333568129007873,0.08817731455670695,26,4,0.3733155459884896
0.040925699655022685,5.374493828662896,0.08822959778767453,64,5,0.4050937880121174
1.1102230246251565e-16,5.374493828662896,0.08610176192672508,89,7,0.5503016261178075
0.0,5.374493828662896,0.08484024166197311,27,2,0.15112429498491708
0.0,5.374493828662896,0.08501452725945732,57,6,0.5347656955376673
-5.551115123125783e-17,5.374493828662896,0.08700502046842103,70,4,0.3872026968707195
0.0,5.374493828662896,0.08690444932665468,18,5,0.23173433502777785
0.0,5.374493828662896,0.07953790658200383,46,6,0.616575044619311
5.551115123125783e-17,5.374493828662896,0.07962639984962247,97,7,0.5339698755267415
0.003363289106826539,5.3778571177697225,0.0779064246796094,51,5,0.2362258760244177
0.0,5.3778571177697225,0.07784195593924065,14,1,0.5173841747711393
0.0,5.3778571177697225,0.08139728907319164,69,6,0.5891601468603841
5.551115123125783e-17,5.3778571177697225,0.08171555283208388,88,2,0.4801627896439582
